CERT,NAME,REPDTE,BKCLASS,INSDIF,ASSET,CHBAL,SC,LNLSNET,DEP,FREPP,OTHBRF,SUBND,LIAB,EQTOT,EQ,OA,ALLOTHL,BORROWED_FUNDS_CALC,OTHER_ASSETS_CALC,OTHER_LIABILITIES_CALC,BALANCE_DIFFERENCE_CALC
19163,FIRST STATE BANK,20251231,NM,1,513050,28779,52363,412613,451813,0,14000,0,469855,43195,43195,10492,4042,14000,19295,4042,0
19184,HILLTOP NATIONAL BANK,20251231,N,1,1171608,152025,398152,599527,1054914,13000,0,0,1074217,97391,97391,18467,6303,13000,21904,6303,0
19212,FIRST MW BANK OF THE OZARKS,20251231,NM,1,739719,63436,46904,598246,655746,3859,61,0,662835,76884,76884,14532,3169,3920,31133,3169,0
19213,SECURITY NB OF OMAHA,20251231,N,1,1725546,131552,221975,1302890,1424786,57863,30000,0,1553588,171958,171958,38922,40939,87863,69129,40939,0
19215,BENCHMARK BANK,20251231,SM,1,1539019,443543,8393,1010676,1412446,0,0,0,1422178,116841,116841,29524,9732,0,76407,9732,0
19220,ANB BANK,20251231,SM,1,2991873,244895,723572,1828514,2693305,99667,0,0,2810541,181332,181332,24963,17569,99667,194892,17569,0
19222,FREMONT BANK,20251231,NM,1,5911501,600306,327280,4686660,5259926,0,100000,0,5451286,460215,460215,164761,91360,100000,297255,91360,0
19230,COMMUNITY NB IN MONMOUTH,20251231,N,1,53689,5964,12989,33335,46613,0,0,0,47014,6675,6675,1182,401,0,1401,401,0
19234,AMERICAN BANK,20251231,NM,1,337683,78399,9385,226101,295353,0,0,0,298889,38794,38794,9647,3536,0,23798,3536,0
19254,HERITAGE BANK NATIONAL ASSN,20251231,N,1,392856,32793,27463,316182,336674,0,12406,0,354306,38550,38550,10118,5226,12406,16418,5226,0
19274,BANNER CAPITAL BANK,20251231,NM,1,368862,26234,33883,288279,327296,0,0,0,328713,40149,40149,10398,1417,0,20466,1417,0
19278,CARMINE STATE BANK,20251231,NM,1,146527,52444,50917,38684,137837,0,0,0,138020,8507,8507,2679,183,0,4482,183,0
19285,LOGAN BANK&TRUST CO,20251231,NM,1,359873,7494,150906,181810,329735,0,0,0,330497,29376,29376,11830,762,0,19663,762,0
19288,FIRSTAR BANK,20251231,NM,1,1109740,69456,74366,884329,961505,0,2556,0,982044,127696,127696,18559,17983,2556,81589,17983,0
