CERT,NAME,REPDTE,BKCLASS,INSDIF,ASSET,CHBAL,SC,LNLSNET,DEP,FREPP,OTHBRF,SUBND,LIAB,EQTOT,EQ,OA,ALLOTHL,BORROWED_FUNDS_CALC,OTHER_ASSETS_CALC,OTHER_LIABILITIES_CALC,BALANCE_DIFFERENCE_CALC
14,STATE STREET BANK&TRUST CO,20251231,SM,1,360681000,130826000,104887000,46770000,280582000,841000,17088000,524000,331762000,28919000,28919000,53970000,27965000,18453000,78198000,32727000,0
35,AUBURNBANK,20251231,SM,1,1018261,126510,233259,558350,923654,0,157,0,927501,90760,90760,32282,3690,157,100142,3690,0
39,ROBERTSON BANKING CO,20251231,NM,1,468318,27481,102003,306814,407647,0,8000,0,420299,48019,48019,13434,4652,8000,32020,4652,0
41,PHENIX-GIRARD BANK,20251231,NM,1,345388,37033,216282,81097,327931,0,0,0,336587,8801,8801,9490,8656,0,10976,8656,0
49,BANK OF EVERGREEN,20251231,NM,1,77314,4339,36205,31193,68011,0,0,0,68348,8966,8966,1744,337,0,5577,337,0
50,COMMUNITY SPIRIT BANK,20251231,NM,1,220292,18485,44710,144510,198159,0,2000,0,202414,17878,17878,5627,2255,2000,12587,2255,0
51,BANK OF VERNON,20251231,NM,1,414568,28615,56563,316102,345108,0,0,0,346956,67612,67612,4603,1848,0,13288,1848,0
52,CITIZENS BANK OF WINFIELD,20251231,NM,1,294607,11991,141505,111327,221217,0,43000,0,267099,27508,27508,25873,2882,43000,29784,2882,0
54,EXCHANGE BANK OF ALABAMA,20251231,NM,1,392141,24969,125440,199546,336583,2200,0,0,340470,51671,51671,8726,1687,2200,42186,1687,0
58,UNITED BANK,20251231,NM,1,1446151,154526,297394,882475,1194745,0,27716,0,1233112,213039,213039,53876,10651,27716,111756,10651,0
70,PEOPLES EXCHANGE BANK,20251231,NM,1,97056,6657,22361,52667,85400,0,0,0,86046,11010,11010,4150,646,0,15371,646,0
72,CENTRAL STATE BANK,20251231,SM,1,743393,83528,81592,539201,666469,0,0,0,672021,71372,71372,17522,5552,0,39072,5552,0
77,BANKSOUTH,20251231,NM,1,210629,7982,30172,169841,168643,0,0,0,169773,40856,40856,1264,1130,0,2634,1130,0
81,WARREN BANK&TRUST CO,20251231,SM,1,141012,3416,41973,84745,115749,0,2989,0,119410,21602,21602,2737,672,2989,10878,672,0
88,GENERATIONS BANK,20251231,SM,1,1064187,23542,240390,734524,896090,0,43000,0,946563,117624,117624,44198,7473,43000,65731,7473,0
89,SIGNATURE BANK OF ARKANSAS,20251231,SM,1,1523393,46776,157739,1250652,1324919,0,31491,0,1388356,135037,135037,29865,31946,31491,68226,31946,0
90,COMMERCIAL BANK&TRUST CO,20251231,SM,1,375073,8376,102495,246930,339067,0,10050,0,350237,24836,24836,14416,1120,10050,17272,1120,0
93,RIVERSIDE BANK,20251231,NM,1,71824,460,1309,55385,60064,0,0,0,60405,11419,11419,1680,341,0,14670,341,0
99,BANK OF DELIGHT,20251231,NM,1,195233,2018,7113,176546,165187,0,3784,0,169968,25265,25265,2690,997,3784,9556,997,0
105,BANK OF CAVE CITY,20251231,SM,1,189713,7236,36083,123251,167114,0,7662,0,178009,11704,11704,9269,3233,7662,23143,3233,0
107,MERCHANTS&PLANTERS BANK,20251231,NM,1,55197,1788,27223,17539,51129,0,0,0,51339,3858,3858,1233,210,0,8647,210,0
109,HORATIO STATE BANK,20251231,NM,1,310605,12221,29324,257679,276028,0,0,0,276820,33785,33785,9600,792,0,11381,792,0
110,BANK OZK,20251231,NM,1,40785840,2833820,2610143,31842064,33384965,537,0,463041,34655989,6129851,6129851,1862483,807446,463578,3499813,807446,0
131,SEACOAST NATIONAL BANK,20251231,N,1,20830874,359109,5764668,12465478,16264595,485862,835000,0,17794031,3036843,3036739,684621,208574,1320862,2241619,208574,0
147,CENTURY BANK&TRUST,20251231,NM,1,363772,24197,124026,198735,321000,0,0,0,323153,40619,40619,12192,2153,0,16814,2153,0
148,BANK OF MADISON,20251231,NM,1,426343,20689,75896,315236,379705,0,0,0,383451,42892,42892,4759,3746,0,14522,3746,0
149,BANK OF HAZLEHURST,20251231,NM,1,143757,43431,46158,51935,127057,0,0,0,127387,16370,16370,1357,330,0,2233,330,0
155,BANK OF ALAPAHA,20251231,NM,1,250135,43502,62818,119406,229618,0,0,0,231283,18852,18852,4596,1665,0,24409,1665,0
160,EXCHANGE BANK,20251231,NM,1,424869,7926,132799,266325,344544,1350,31000,0,378450,46419,46419,7117,1556,32350,17819,1556,0
169,FIRST NB OF GRIFFIN,20251231,N,1,365919,48590,116791,177804,317380,14717,0,0,333153,32766,32766,13897,1056,14717,22734,1056,0
170,PEOPLES BANK OF GEORGIA,20251231,NM,1,235258,27228,14321,185249,213679,0,0,0,215091,20167,20167,3852,1412,0,8460,1412,0
172,UNITED BANK,20251231,NM,1,2331428,674641,689882,912782,2070938,0,0,0,2093108,238320,238320,27780,22170,0,54123,22170,0
175,COMMERCIAL BANK,20251231,NM,1,462640,19714,76152,316733,419723,0,0,0,423369,39271,39271,3204,3646,0,50041,3646,0
178,TALBOT STATE BANK,20251231,NM,1,52956,7233,13137,31116,46279,0,4000,0,50367,2589,2589,854,88,4000,1470,88,0
183,MERCHANTS&CITIZENS BANK,20251231,NM,1,137634,5990,70347,49854,121213,0,0,0,123153,14481,14481,8122,1940,0,11443,1940,0
197,ALLIANCE BANK,20251231,NM,1,461977,5845,104770,312095,398317,6402,7000,0,416962,45015,45015,20652,5243,13402,39267,5243,0
210,TRI-COUNTY BANK&TRUST CO,20251231,NM,1,295690,6777,52159,201589,241312,0,30000,0,271995,23695,23695,11592,683,30000,35165,683,0
214,WASHINGTON STATE BANK,20251231,SM,1,588904,14954,192351,343566,519920,3179,17552,0,545953,42951,42951,34447,5302,20731,38033,5302,0
226,GUTHRIE COUNTY STATE BANK,20251231,NM,1,279288,3112,101575,158821,202666,7473,40500,0,252488,26800,26800,11709,1849,47973,15780,1849,0
228,AMERICAN STATE BANK,20251231,NM,1,1512992,101358,22304,1345893,1304094,0,45000,0,1355418,157574,157574,19351,6324,45000,43437,6324,0
230,COMMUNITY STATE BANK,20251231,NM,1,342577,2307,155600,158172,291162,0,20482,0,314089,28488,28488,6340,2445,20482,26498,2445,0
231,COMMERCIAL SAVINGS BANK,20251231,SM,1,335554,31756,31165,262716,278382,2576,24900,0,307513,28041,28041,3518,1655,27476,9917,1655,0
232,SOLON STATE BANK,20251231,NM,1,125699,2948,34547,83134,83442,0,12850,0,96789,28910,28910,1492,497,12850,5070,497,0
234,POCAHONTAS STATE BANK,20251231,NM,1,122562,2269,75053,40820,85938,535,1500,0,88815,33747,33747,1737,842,2035,4420,842,0
235,SECURITY STATE BANK,20251231,NM,1,480775,5216,4104,432783,330686,0,97000,0,429216,51559,51559,14234,1530,97000,38672,1530,0
245,RACCOON VALLEY BANK,20251231,NM,1,472860,9662,76453,367896,416809,2800,6000,0,429270,43590,43590,7131,3661,8800,18849,3661,0
248,STATE SAVINGS BANK,20251231,NM,1,274293,27371,305,236143,204588,0,42922,0,250109,24184,24184,9132,2599,42922,10474,2599,0
251,FIRST SECURITY BANK,20251231,NM,1,63347,7970,11738,37503,53184,0,0,0,53430,9917,9917,1968,246,0,6136,246,0
252,PINNACLE BANK,20251231,SM,1,306592,16573,60540,209208,263395,1372,0,0,267073,39519,39519,12070,2306,1372,20271,2306,0
253,LUANA SAVINGS BANK,20251231,NM,1,2209415,39675,329822,1775839,1849819,0,136500,0,2001418,207997,207997,41829,15099,136500,64079,15099,0
254,FIRST WHITNEY BANK&TRUST,20251231,NM,1,304218,4991,119711,173723,249451,4255,17000,0,271791,32427,32427,5260,1085,21255,5793,1085,0
258,STOCK YARDS BANK&TRUST CO,20251231,NM,1,9533246,884141,921057,6955690,7793115,119765,302140,0,8458991,1074255,1074255,238491,243971,421905,772358,243971,0
262,CITIZENS BANK,20251231,NM,1,251504,10345,16166,212549,219991,0,11000,0,231977,19527,19527,6809,986,11000,12444,986,0
267,KENTUCKY FARMERS BANK CORP,20251231,NM,1,331206,31860,116920,166185,278704,0,0,0,279998,51208,51208,6358,1294,0,16241,1294,0
275,MORGANTOWN BANK&TRUST CO INC,20251231,NM,1,421664,10213,53770,331321,369604,0,16161,0,389283,32381,32381,11905,3518,16161,26360,3518,0
281,HYDEN CITIZENS BANK,20251231,NM,1,146152,5112,53427,82109,128333,2550,4500,0,136433,9719,9719,1346,1050,7050,5504,1050,0
284,AUBURN BANKING CO,20251231,NM,1,153359,4311,19360,114885,137733,1000,3000,0,142232,11127,11127,2784,499,4000,14803,499,0
287,COMMUNITY FINL SERVICES BK,20251231,SM,1,1410476,71103,283667,954983,1274703,0,20000,0,1300818,109658,109658,61049,6115,20000,100723,6115,0
288,FARMERS&TRADERS BK CAMPTON,20251231,NM,1,67660,1777,22553,40268,55015,1261,6250,0,63062,4598,4598,746,536,7511,3062,536,0
289,BANK OF HINDMAN,20251231,NM,1,267999,17443,110145,123114,217747,21948,8000,0,248345,19654,19654,6103,650,29948,17297,650,0
291,JACKSON COUNTY BANK,20251231,NM,1,175162,18670,81305,72892,114118,11914,0,0,126377,48785,48785,1212,345,11914,2295,345,0
292,MONTICELLO BANKING CO,20251231,SM,1,1140123,40509,214505,810133,938702,0,100000,0,1044812,95311,95311,47442,6110,100000,74976,6110,0
296,BANK OF EDMONSON COUNTY,20251231,NM,1,282643,6072,66382,199020,242258,4940,8961,0,257277,25366,25366,5984,1118,13901,11169,1118,0
297,LEWISBURG BANKING CO,20251231,SM,1,222860,7648,41303,159043,177639,20902,5000,0,203868,18992,18992,2135,327,25902,14866,327,0
303,UNITED CUMBERLAND BANK,20251231,NM,1,453787,42582,76620,314510,394327,3032,5455,0,404452,49335,49335,12349,1638,8487,20075,1638,0
304,CLINTON BANK,20251231,NM,1,72174,1477,17401,50025,60555,0,0,0,60935,11239,11239,1598,380,0,3271,380,0
306,BANK OF ZACHARY,20251231,NM,1,411205,4317,96570,286886,357754,0,13000,0,372130,39075,39075,7965,1376,13000,23432,1376,0
307,LANDMARK BANK,20251231,NM,1,271274,56578,33091,162516,245765,0,0,0,246595,24679,24679,7020,830,0,19089,830,0
314,MER ROUGE STATE BANK,20251231,NM,1,50025,11960,11758,24898,44617,0,0,0,44691,5334,5334,1082,74,0,1409,74,0
324,CITIZENS BANK,20251231,NM,1,470124,50117,96294,296481,404771,0,1366,0,410066,60058,60058,15453,3929,1366,27232,3929,0
327,MERCHANTS&PLANTERS BANK,20251231,NM,1,224954,39975,77811,95962,188743,0,0,0,189360,35594,35594,5983,617,0,11206,617,0
340,PEOPLES BANK BILOXI MS,20251231,NM,1,726745,19582,389167,260767,604781,0,800,0,626958,99787,99787,39428,21377,800,57229,21377,0
342,FARMERS STATE BANK,20251231,SM,1,773605,10235,225348,488998,658845,0,53000,0,719711,53894,53894,23118,7866,53000,49024,7866,0
352,BANK OF BAKER,20251231,NM,1,162718,29601,32854,86173,144084,500,0,0,144980,17738,17738,6741,396,500,14090,396,0
363,FIRST MONTANA BANK INC,20251231,SM,1,564385,45519,164876,319969,446483,0,61387,0,513163,51222,51222,20499,5293,61387,34021,5293,0
384,OHIO VALLEY BANK CO,20251231,SM,1,1567392,45887,259358,1172054,1334465,0,43067,0,1404834,162558,162558,62027,27302,43067,90093,27302,0
389,PEOPLES BANK,20251231,NM,1,58445,1757,21145,30608,52342,0,0,0,52655,5790,5790,706,313,0,4935,313,0
399,FIRST SUMMIT BANK,20251231,NM,1,34589,6728,18,18160,29936,0,0,0,29995,4594,4594,691,59,0,9683,59,0
402,SOONER STATE BANK,20251231,NM,1,331136,10366,71439,227683,284215,0,5000,0,291152,39984,39984,9564,1937,5000,21648,1937,0
404,FARMERS STATE BANK,20251231,SM,1,191498,5786,46400,126617,180652,0,9,0,182393,9105,9105,8787,1732,9,12695,1732,0
406,CLEO STATE BANK,20251231,NM,1,111053,17096,24975,66557,93021,0,0,0,93185,17868,17868,1759,164,0,2425,164,0
414,STOCK EXCHANGE BANK,20251231,NM,1,290386,21862,95038,144971,234055,0,0,0,237952,52434,52434,12598,3897,0,28515,3897,0
418,HIGH PLAINS BANK,20251231,NM,1,211688,29149,7651,164444,186922,0,767,0,189342,22346,22346,7744,1653,767,10444,1653,0
420,BANK OF VICI,20251231,NM,1,29117,1392,7167,14253,27116,0,0,0,27153,1964,1964,2245,37,0,6305,37,0
421,SECURITY STATE BANK,20251231,NM,1,276758,6983,84146,170654,246572,0,0,0,248569,28189,28189,10700,1997,0,14975,1997,0
428,AMERICAN EXCHANGE BANK,20251231,NM,1,97445,10017,5728,74780,82902,0,0,0,83734,13711,13711,3964,832,0,6920,832,0
432,SECURITY FIRST NB OF HUGO,20251231,N,1,139231,17311,10851,102408,125004,0,0,0,126108,13123,13123,2498,1104,0,8661,1104,0
444,PS BANK,20251231,NM,1,640858,60186,129416,419915,559752,0,11500,0,575406,65452,65452,21804,4154,11500,31341,4154,0
445,MERCER COUNTY STATE BANK,20251231,NM,1,597479,11614,156671,386516,516580,0,27074,0,550248,47231,47231,26216,6594,27074,42678,6594,0
485,SECURITY BANK MIDWEST,20251231,NM,1,328268,8599,81380,215997,245497,0,53500,0,300227,28041,28041,9448,1230,53500,22292,1230,0
492,WESTERN DAKOTA BANK,20251231,NM,1,85877,54932,1846,25479,77717,0,0,0,78083,7794,7794,1805,366,0,3620,366,0
496,BANKSTAR FINANCIAL,20251231,NM,1,350390,29423,33796,269662,292706,0,23000,0,317379,33011,33011,6292,1673,23000,17509,1673,0
501,FARMERS&MERCHANTS STATE BANK,20251231,NM,1,181818,6041,22130,142455,153067,0,10000,0,164367,17451,17451,7817,1300,10000,11192,1300,0
505,GREAT PLAINS BANK,20251231,NM,1,154487,4317,34943,111062,123148,1800,0,0,128205,26282,26282,3161,3257,1800,4165,3257,0
526,FARMERS STATE BANK,20251231,SM,1,32303,15888,138,15719,28171,0,0,0,28452,3851,3851,356,281,0,558,281,0
529,CENTRAL BANK&TRUST,20251231,NM,1,202104,6490,83151,108612,183469,1500,0,0,185247,16857,16857,1311,278,1500,3851,278,0
588,MANUFACTURERS&TRADERS TR CO,20251231,SM,1,212887157,18700268,35840747,136667601,171492971,48868,7787869,1239487,184553965,28333192,28333192,9051607,3984770,9076224,21678541,3984770,0
597,CHEMUNG CANAL TRUST CO,20251231,SM,1,2709552,50097,284405,2247454,2279501,0,90554,0,2421981,287571,287571,85174,51926,90554,127596,51926,0
609,TOMPKINS COMMUNITY BANK,20251231,NM,1,8678169,133034,1695396,6432014,7133907,95569,564446,0,7886215,791954,791954,238049,92293,660015,417725,92293,0
618,BANK OF MILLBROOK,20251231,SM,1,308458,42906,109373,133852,268480,0,0,0,271373,37085,37085,4334,2893,0,22327,2893,0
622,AMALGAMATED BANK,20251231,NM,1,8867199,291217,3334566,4902501,7992617,0,5760,0,8054489,812710,812710,254138,56112,5760,338915,56112,0
623,DEUTSCHE BANK TR CO AMERICAS,20251231,SM,1,43031000,18747000,404000,14949000,30856000,0,0,0,33223000,9808000,9808000,2008000,2367000,0,8931000,2367000,0
628,JPMORGAN CHASE BANK NA,20251231,N,1,3752662000,350456000,777844000,1471951000,2697842000,147880000,260048000,0,3416692000,335970000,335936000,211997000,178123000,407928000,1152411000,310922000,0
639,BANK OF NEW YORK MELLON,20251231,SM,1,380997000,126781000,149966000,40480000,332433000,2657000,4940000,0,351175000,29822000,29822000,18517000,8374000,7597000,63770000,11145000,0
659,FIVE STAR BANK,20251231,SM,1,6235224,102147,1007180,4613845,5289662,0,159000,0,5572971,662253,662253,368542,97490,159000,512052,124309,0
660,ADIRONDACK TRUST CO,20251231,SM,1,1785369,349984,314221,992043,1562060,5763,0,0,1595145,190224,190167,71217,27322,5763,129121,27322,0
686,JOURNEY BANK,20251231,NM,1,1670173,48438,325768,1168469,1413365,12455,40584,0,1481736,188437,188437,65375,15332,53039,127498,15332,0
698,WAYNE BANK,20251231,NM,1,2426477,44437,408782,1826220,2105046,0,74133,0,2209293,217184,217184,90397,30114,74133,147038,30114,0
713,ORRSTOWN BANK,20251231,SM,1,5541962,149774,952497,3979102,4533712,24542,274701,0,4918473,623489,623489,260573,70798,299243,460589,85518,0
737,APPLE CREEK BANKING CO,20251231,SM,1,260079,7030,19044,222980,236217,0,0,0,237439,22640,22640,7258,1222,0,11025,1222,0
763,MINSTER BANK,20251231,SM,1,802192,80364,254791,436662,706872,21325,835,0,735678,66514,66514,19217,6646,22160,30375,6646,0
769,FARMERS BANK&SAVINGS CO,20251231,NM,1,463455,14514,98067,320027,418942,0,51,0,420585,42870,42870,13354,1592,51,30847,1592,0
803,WESBANCO BANK INC,20251231,NM,1,27619827,961310,4422905,19097534,21831113,110679,1232764,0,23459361,4160466,4160466,1124759,284805,1343443,3138078,284805,0
823,CITIZENS BANK&TRUST CO,20251231,SM,1,578364,5970,212628,276428,487621,8073,0,0,498780,79584,79584,25485,3086,8073,83338,3086,0
845,BANK OF ROMNEY,20251231,SM,1,365004,6665,65648,260827,277227,0,26629,0,306860,58144,58144,26850,3004,26629,31864,3004,0
847,PLEASANTS COUNTY BANK,20251231,SM,1,79436,7631,17189,45762,71602,0,0,0,72395,7041,7041,3804,793,0,8854,793,0
855,MERCHANTS&FARMERS BK GREENE,20251231,NM,1,128400,4594,29126,76038,113289,0,0,0,114150,14250,14250,3590,861,0,18642,861,0
861,STATE BANK&TRUST,20251231,NM,1,396368,12601,112681,247794,346561,0,24542,0,374802,21566,21566,11983,3699,24542,23292,3699,0
873,SYNOVUS BANK,20251231,SM,1,61204265,2454662,9835903,44253914,51914514,48848,1443466,495921,55358814,5845451,5825211,3276706,1345995,1988235,4659786,1456065,0
876,BANK OF DAWSON,20251231,NM,1,158316,16557,31896,89109,131528,0,0,0,133449,24867,24867,7766,1921,0,20754,1921,0
877,MAGNOLIA STATE BANK,20251231,NM,1,197887,33769,51372,109025,167335,0,0,0,168482,29405,29405,1591,1147,0,3721,1147,0
879,FARMERS STATE BANK,20251231,NM,1,183793,45760,47603,84834,159050,0,0,0,159458,24335,24335,1458,408,0,5596,408,0
889,GEORGIA FIRST BANK,20251231,NM,1,275051,37756,6342,219875,247055,0,0,0,248622,26429,26429,1903,1567,0,11078,1567,0
893,CITIZENS BANK,20251231,NM,1,831159,39002,324571,446342,713438,0,0,0,718446,112713,112713,19066,5008,0,21244,5008,0
898,BANK OF FOREST,20251231,NM,1,273956,5856,85860,166423,231146,0,16075,0,248930,25026,25026,10276,1709,16075,15817,1709,0
899,GERBER STATE BANK,20251231,NM,1,100639,2057,49509,46792,77284,2280,10842,0,90644,9995,9995,1896,238,13122,2281,238,0
902,BYRON BANK,20251231,NM,1,360089,4158,104760,245022,323856,2584,1582,0,330333,29756,29756,3156,2311,4166,6149,2311,0
903,AMALGAMATED BANK OF CHICAGO,20251231,NM,1,1468427,563435,83355,776790,1287379,0,26817,0,1333921,134506,134506,39560,19725,26817,44847,19725,0
913,NORTHERN TRUST CO,20251231,SM,1,176396321,61565078,57027179,41783958,145215355,2042405,10693125,2016042,164981779,11414542,11411586,11433061,4143031,14751572,16020106,5014852,0
925,STATE BANK OF GENEVA,20251231,SM,1,122180,18060,22668,77369,106049,0,3000,0,109492,12688,12688,1983,443,3000,4083,443,0
926,PEOPLES NB OF KEWANEE,20251231,N,1,587327,44633,344903,177084,518325,0,9256,0,529818,57509,57509,11114,2237,9256,20707,2237,0
931,CITIZENS STB OF MILFORD,20251231,NM,1,57509,4657,21290,24206,52667,0,0,0,52953,4556,4556,1862,286,0,7356,286,0
950,IOWA STATE BANK,20251231,NM,1,467700,10726,126184,297033,374056,9817,38000,0,425604,42096,42096,24724,3731,47817,33757,3731,0
951,CHEROKEE STATE BANK,20251231,NM,1,271249,3322,71669,181703,211782,4633,27115,0,244268,26981,26981,11141,738,31748,14555,738,0
953,BANKERS TRUST CO,20251231,NM,1,7487308,125819,1158270,5814518,6061294,537112,2462,0,6771013,716295,716295,291983,170145,539574,388701,170145,0
954,FNB BANK,20251231,SM,1,273724,7283,35157,218649,212293,0,18150,0,231470,42254,42254,6776,1027,18150,12635,1027,0
955,CONNECTION BANK,20251231,SM,1,540109,23073,14861,468499,453218,0,29500,0,486540,53569,53569,18372,3822,29500,33676,3822,0
956,GLENWOOD STATE BANK,20251231,SM,1,331060,42008,130932,154325,289448,0,748,0,291420,39640,39640,3450,1224,748,3795,1224,0
958,UNITED BANK OF IOWA,20251231,NM,1,2480897,67571,652646,1619418,1945663,33007,265000,0,2258144,222753,222753,90663,14474,298007,141262,14474,0
963,HOME TRUST&SAVINGS BANK,20251231,SM,1,290746,8055,70962,207014,254952,585,7000,0,263690,27056,27056,3744,1153,7585,4715,1153,0
966,HOME STATE BANK,20251231,NM,1,58678,1526,21284,32340,44538,0,0,0,44694,13984,13984,746,156,0,3528,156,0
968,SECURITY TRUST&SAVINGS BANK,20251231,SM,1,274873,85691,99407,80870,248237,0,0,0,248785,26088,26088,2428,548,0,8905,548,0
969,TEMPLETON SAVINGS BANK,20251231,SM,1,160260,13162,32548,109297,133237,0,0,0,134423,25837,25837,2204,1186,0,5253,1186,0
976,BLISSFIELD STATE BANK,20251231,SM,1,118919,2423,45909,54557,109222,0,0,0,109403,9516,9516,1776,181,0,16030,181,0
977,TRI-COUNTY BANK,20251231,SM,1,604491,8047,99515,468162,517309,0,10000,0,528213,76278,76278,20001,904,10000,28767,904,0
982,EASTERN MICHIGAN BANK,20251231,SM,1,571776,103680,198365,201320,475440,0,0,0,475991,95785,95785,16154,551,0,68411,551,0
983,COMERICA BANK,20251231,SM,1,80052000,7513000,14920000,50229000,66282000,0,3858000,623000,72814000,7238000,7238000,5644000,1594000,4481000,7390000,2051000,0
999,G W JONES EXCHANGE BANK,20251231,SM,1,111671,34817,50574,24830,100907,0,0,0,101865,9806,9806,717,958,0,1450,958,0
1005,ISABELLA BANK,20251231,SM,1,2161209,25845,497790,1523061,1850654,68000,45000,0,1982415,178794,178794,78797,18761,113000,114513,18761,0
1008,BANK MICHIGAN,20251231,SM,1,153545,19884,8314,117212,126761,0,5250,0,134604,18941,18941,2343,2593,5250,8135,2593,0
1014,CHOICEONE BANK,20251231,SM,1,4407418,87975,946050,2993668,3602337,0,264788,0,3900741,506677,506677,158783,33616,264788,379725,33616,0
1022,CLARE BANK NATIONAL ASSN,20251231,N,1,349308,17431,152284,171135,289716,0,28550,0,319378,29930,29930,4474,1112,28550,8458,1112,0
1027,FM BANK&TRUST,20251231,SM,1,586303,36972,38661,459349,534263,0,2500,0,540063,46240,46240,19886,3300,2500,51321,3300,0
1028,FBT BANK&MORTGAGE,20251231,SM,1,246823,17354,69165,150440,217660,0,10000,0,230077,16746,16746,7709,2417,10000,9864,2417,0
1040,MIDLAND STATES BANK,20251231,SM,1,6502519,127279,1524943,4290566,5429071,10181,365000,0,5892272,610247,610247,441062,88020,375181,559731,88020,0
1047,BANK&TRUST CO,20251231,NM,1,633157,21371,181091,417004,535102,9199,19703,0,566591,66566,66566,8521,2587,28902,13691,2587,0
1049,FIRST NB OF STEELEVILLE,20251231,N,1,277418,3310,137213,119804,213859,27519,3050,0,246989,30429,30429,10382,2561,30569,17091,2561,0
1058,MIDWEST BANKCENTRE,20251231,SM,1,2980633,77443,319378,2382177,2459375,15163,90000,0,2611581,369052,369052,161572,44104,105163,201635,47043,0
1060,WOOD&HUSTON BANK,20251231,NM,1,1288585,132057,147513,950354,1157311,0,0,0,1164902,123683,123683,43232,7591,0,58661,7591,0
1068,CASS COMMERCIAL BANK,20251231,SM,1,1438529,358574,62062,1000385,1224054,0,0,0,1237161,201368,201368,17037,13107,0,17508,13107,0
1073,LINDELL BANK&TRUST CO,20251231,SM,1,939830,62882,306279,517154,699742,2388,75000,0,782480,157350,157350,18107,5350,77388,53515,5350,0
1086,BANK OF VERSAILLES,20251231,SM,1,351593,34531,0,310872,268457,0,32000,0,301148,50445,50445,3371,691,32000,6190,691,0
1090,UPPER PENINSULA STATE BANK,20251231,NM,1,361467,14473,28921,289037,289708,0,20000,0,314751,46716,46716,15462,5043,20000,29036,5043,0
1092,BAYBANK,20251231,NM,1,168773,9431,24780,127172,143827,0,7000,0,152044,16729,16729,2284,1217,7000,7390,1217,0
1095,CENTRAL SAVINGS BANK,20251231,SM,1,487146,35202,100436,328419,428075,0,15000,0,446276,40870,40870,18256,3201,15000,23089,3201,0
1098,ROOT RIVER STATE BANK,20251231,SM,1,85901,8830,40279,28355,79423,0,0,0,79601,6300,6300,4053,178,0,8437,178,0
1100,PEOPLES STB OF PLAINVIEW,20251231,SM,1,410507,26040,98468,270846,371904,0,6809,0,382664,27843,27843,12071,3951,6809,15153,3951,0
1105,FIRST INTERSTATE BANK,20251231,SM,1,26568494,1309681,7630236,15083831,22396621,479560,23998,0,23197180,3371314,3371314,932248,219741,503558,2544746,297001,0
1117,AMERICAN BANK&TRUST,20251231,NM,1,2147633,218042,292306,1533321,1868116,10549,15961,0,1919682,227951,227951,59680,25056,26510,103964,25056,0
1118,CITIZENS STB OF ARLINGTON,20251231,SM,1,150588,21218,48754,77371,132405,0,700,0,133637,16951,16951,2665,532,700,3245,532,0
1122,FIRST FIDELITY BANK,20251231,NM,1,704059,30983,196303,415814,637187,0,69,0,644113,59946,59946,27519,6857,69,60959,6857,0
1125,MERCHANTS STATE BANK,20251231,SM,1,221544,5304,52505,148192,180697,0,4000,0,188378,33166,33166,9509,3681,4000,15543,3681,0
1141,COLORADO B&T CO OF LA JUNTA,20251231,SM,1,316199,28492,46537,226187,267971,0,10000,0,280138,36061,36061,4138,2167,10000,14983,2167,0
1147,PEOPLES BANK,20251231,SM,1,556004,47523,216799,265026,516519,0,0,0,519585,36419,36419,11492,3066,0,26656,3066,0
1163,WAHOO STATE BANK,20251231,SM,1,113865,1672,14376,86417,87770,4037,11679,0,104692,9173,9173,5117,1206,15716,11400,1206,0
1164,CITIZENS BANK,20251231,NM,1,773626,36492,378432,304087,673014,38297,15381,0,729231,44395,44395,28030,2539,53678,54615,2539,0
1165,FIRST BANK OF OKARCHE,20251231,NM,1,137713,23716,50951,58445,115727,0,0,0,116825,20888,20888,4490,1098,0,4601,1098,0
1167,UINTA BANK,20251231,SM,1,202956,9258,111728,70477,187483,1450,0,0,189477,13479,13479,7276,544,1450,11493,544,0
1169,SUNDANCE STATE BANK,20251231,SM,1,297613,44843,77682,159205,259956,0,8000,0,268812,28801,28801,10062,856,8000,15883,856,0
1184,BANK&TRUST SSB,20251231,SM,1,584833,38794,143349,368390,530550,0,0,0,535583,49250,49250,15893,5033,0,34300,5033,0
1198,ARROWHEAD BANK,20251231,NM,1,302203,50438,62587,184170,268383,0,0,0,269172,33031,33031,2197,789,0,5008,789,0
1209,COMMERCIAL BANK OF TEXAS NA,20251231,N,1,1632426,111726,364329,1093713,1456101,0,56,0,1470312,162114,162114,38780,14155,56,62658,14155,0
1210,VISTA BANK,20251231,SM,1,2541208,339128,148541,1928367,2209633,0,10000,0,2236368,304840,304840,78161,16735,10000,125172,16735,0
1213,CORNERSTONE CAPITAL BANK SSB,20251231,SI,1,2469832,374434,71370,1715233,1308987,0,664581,0,2094783,375049,339948,147192,121215,664581,308795,121215,0
1218,FIRST STATE BANK,20251231,NM,1,179669,19229,11849,143697,148878,7000,42,0,157086,22583,22583,4518,1166,7042,4894,1166,0
1219,WELLINGTON STATE BANK,20251231,SM,1,653212,79158,195416,343540,593113,0,0,0,602831,50381,50381,17514,9718,0,35098,9718,0
1225,FARMERS&MERCHANTS BK LONG BE,20251231,SM,1,11797060,1409565,4105543,5983529,8950794,883234,300000,0,10190773,1606287,1606287,116646,56745,1183234,298423,56745,0
1237,IRELAND BANK,20251231,NM,1,371201,32360,139357,184071,325096,0,6730,0,335784,35417,35417,10495,3958,6730,15413,3958,0
